#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 08:42:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 08:42:58 GET /robots.txt - 51.75.13.156 HTTP/1.1 Go-http-client/1.1 - 404 1405 110
2019-07-16 08:43:00 GET / - 51.75.13.156 HTTP/1.1 Mozilla/5.0+(compatible;+VelenPublicWebCrawler/1.0;++https://velen.io) - 200 8209 152
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 09:00:55
2019-07-16 22:03:47 GET /index.php - 139.219.96.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 - 404 1405 296
2019-07-16 22:03:48 GET /phpmyadmin/index.php - 139.219.96.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 - 404 1405 283
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 23:17:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 23:17:27 GET / - 185.189.115.26 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.170+Safari/537.36+OPR/53.0.2907.106 http://kaiparatavern.co.nz/ 200 34855 332
2019-07-16 23:17:27 POST / - 185.189.115.26 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.170+Safari/537.36+OPR/53.0.2907.106 http://kaiparatavern.co.nz/ 405 1515 585
2019-07-16 23:19:46 GET / - 42.236.99.130 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.kaiparatavern.co.nz/ 200 8209 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-17 01:19:49
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-17 01:19:49 GET /robots.txt - 66.249.79.241 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2019-07-17 01:19:49 GET / - 66.249.79.241 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-17 01:35:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-17 01:35:52 GET / - 180.163.220.99 HTTP/1.1 Mozilla/5.0(compatible;MSIE9.0;WindowsNT6.1;Trident/5.0) http://kaiparatavern.co.nz/ 200 8209 255
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-17 03:08:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-17 03:08:01 GET / - 209.17.97.2 HTTP/1.1 Mozilla/5.0+(compatible;+Nimbostratus-Bot/v1.3.2;+http://cloudsystemnetworks.com) - 200 34836 144
