#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 07:57:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 07:57:36 POST /index.php - 121.61.4.24 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/index.php?m=member&c=index&a=register&siteid=1 404 1405 548
2017-06-15 06:50:35 GET /images/team3.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 403
2017-06-15 06:50:36 GET /images/banner1.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 405
2017-06-15 06:50:36 GET /images/banner3.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 405
2017-06-15 06:50:40 GET /images/work-img6.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1093416 407
2017-06-15 06:50:40 GET /images/work-img4.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 407
2017-06-15 06:50:43 GET /images/team4.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 403
2017-06-15 06:50:43 GET /images/work-img3.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 407
2017-06-15 06:50:43 GET /images/info.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 200 729150 415
2017-06-15 06:50:45 GET /images/work-img2.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 407
2017-06-15 06:50:46 GET /images/work-img5.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 407
2017-06-15 06:50:50 GET /images/work-img8.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 407
2017-06-15 06:50:50 GET /images/xtra_logo.png - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 26596 407
2017-06-15 06:50:51 GET /images/work-img7.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 407
2017-06-15 06:50:54 GET /images/work-img11.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 589824 408
2017-06-15 06:50:54 GET /images/banner4.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 655360 405
2017-06-15 06:50:54 GET /images/work-img9.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 786432 407
2017-06-15 06:50:54 GET /images/work-img12.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 524288 408
2017-06-15 06:50:54 GET /images/work-img10.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 917504 408
2017-06-15 06:50:54 GET /images/banner5.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 393216 405
