#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 07:30:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 07:30:40 GET /robots.txt - 46.229.164.100 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-27 00:03:40 GET / - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 - 200 8209 379
2017-09-27 00:03:40 GET /css/font-awesome.min.css - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 8118 370
2017-09-27 00:03:40 GET /css/jQuery.lightninBox.css - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 1481 372
2017-09-27 00:03:40 GET /css/team.css - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 1027 358
2017-09-27 00:03:41 GET /js/SmoothScroll.min.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 3749 353
2017-09-27 00:03:41 GET /js/modernizr.custom.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 4923 353
2017-09-27 00:03:41 GET /css/style.css - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 11722 359
2017-09-27 00:03:41 GET /js/main.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 871 341
2017-09-27 00:03:41 GET /js/jQuery.lightninBox.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 3081 355
