#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-01 10:20:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-01 15:00:39 POST /xiaolei.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/xiaolei.php 404 1405 649
2018-06-01 15:00:39 POST /plus/xsvip.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/xsvip.php 404 1405 307
2018-06-01 15:00:41 POST /dxyylc/md5.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.asp 404 1405 1104
2018-06-01 15:00:41 POST /dxyylc/md5.aspx - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 652
2018-06-01 15:00:42 POST /dxyylc/md5.aspx - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 1106
2018-06-01 15:00:44 POST /dxyylc/md5.aspx - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 655
2018-06-01 15:00:44 POST /plus/bakup.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.php 404 1405 307
2018-06-01 15:00:46 POST /include/ckeditor/plugins/pagebreak/images/inCahe.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/ckeditor/plugins/pagebreak/images/inCahe.php 404 1405 732
2018-06-01 15:00:46 POST /utility/convert/include/rom2823.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/utility/convert/include/rom2823.php 404 1405 696
2018-06-01 15:00:47 POST /admin/Admin_Ta.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/Admin_Ta.asp 404 1405 1115
2018-06-01 15:00:47 POST /admin/error.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/error.asp 404 1405 1111
2018-06-01 15:00:48 POST /weki.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/weki.asp 404 1405 1093
2018-06-01 15:00:48 POST /kdatebase/index_.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/kdatebase/index_.asp 404 1405 1121
2018-06-01 15:00:48 POST /Somnus/Somnus.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/Somnus/Somnus.asp 404 1405 1118
2018-06-01 15:00:50 POST /images/cache.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/cache.asp 404 1405 1114
