#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 07:33:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 07:33:17 GET / - 184.94.240.92 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 - 200 34855 182
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 08:09:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 09:18:08 GET / - 31.13.115.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 https://www.facebook.com/ 200 34836 483
2019-02-12 09:18:10 GET /js/modernizr.custom.js - 31.13.115.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 8758 395
2019-02-12 09:18:10 GET /css/team.css - 31.13.115.11 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 3537 400
2019-02-12 09:18:11 GET /css/jQuery.lightninBox.css - 31.13.115.7 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 5227 414
2019-02-12 09:18:11 GET /css/font-awesome.min.css - 31.13.115.7 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 29179 412
2019-02-12 09:18:11 GET /css/style.css - 31.13.115.3 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 46677 401
2019-02-12 09:18:12 GET /css/bootstrap.min.css - 31.13.115.8 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 121509 409
2019-02-12 09:18:12 GET /js/jquery.min.js - 31.13.115.3 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 96256 389
2019-02-12 09:18:28 GET /js/bootstrap.min.js - 31.13.115.3 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 37132 392
2019-02-12 09:18:29 GET /fonts/fontawesome-webfont.woff2 - 31.13.115.8 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 403
