#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
2018-07-30 12:17:00 POST /dxyylc/md5.aspx - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 1106
2018-07-30 12:17:02 POST /dxyylc/md5.aspx - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 655
2018-07-30 12:17:02 POST /plus/bakup.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.php 404 1405 651
2018-07-30 12:17:03 POST /plus/digg.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/digg.php 404 0 650
2018-07-30 12:17:04 POST /include/ckeditor/plugins/pagebreak/images/inCahe.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/ckeditor/plugins/pagebreak/images/inCahe.php 404 1405 732
2018-07-30 12:17:06 POST /utility/convert/include/rom2823.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/utility/convert/include/rom2823.php 404 1405 696
2018-07-30 12:17:06 POST /admin/Admin_Ta.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/Admin_Ta.asp 404 1405 1115
2018-07-30 12:17:07 POST /admin/error.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/error.asp 404 1405 1111
2018-07-30 12:17:09 POST /weki.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/weki.asp 404 1405 1093
2018-07-30 12:17:09 POST /kdatebase/index_.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/kdatebase/index_.asp 404 1405 1121
2018-07-30 12:17:10 POST /Somnus/Somnus.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/Somnus/Somnus.asp 404 1405 1118
2018-07-30 12:17:10 POST /images/cache.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/cache.asp 404 1405 1114
2018-07-30 12:17:11 POST /weki.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/weki.php 404 1405 639
2018-07-30 12:17:13 POST /plus/myjs.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/myjs.php 404 0 650
2018-07-30 12:17:13 POST /data/data/index.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/data/index.php 404 1405 662
2018-07-30 12:17:13 POST /data/conn/config.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/conn/config.php 404 1405 664
2018-07-30 12:17:14 POST /plus/mytag_j.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 672
2018-07-30 12:17:14 POST /plus/mytag_j.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 1126
