#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 09:23:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 18:51:07 GET /images/banner1.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 553071 496
2019-05-13 18:51:08 GET /images/info.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 729150 493
2019-05-13 18:51:09 GET /images/work-img8.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 915658 498
2019-05-13 18:51:10 GET /images/work-img12.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 961465 499
2019-05-13 18:51:10 GET /images/work-img7.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1067450 498
2019-05-13 18:51:10 GET /images/work-img10.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 968132 499
2019-05-13 18:51:10 GET /favicon.ico - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 205
2019-05-13 18:51:11 GET /favicon.ico - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 380
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 19:25:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 19:25:16 GET / - 172.104.190.108 HTTP/1.1 - - 200 34855 123
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 20:26:42
