#Software: Microsoft Internet Information Services 7.5
2018-03-30 21:55:48 GET /fonts/fontawesome-webfont.ttf - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 152629 361
2018-03-30 21:55:55 GET /images/team1.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 982372 384
2018-03-30 21:56:05 GET /images/work-img1.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 889310 388
2018-03-30 21:56:23 GET /images/work-img3.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 943143 388
2018-03-30 21:56:24 GET /images/work-img2.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1001601 388
2018-03-30 21:56:35 GET /images/work-img5.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 869467 388
2018-03-30 21:56:39 GET /images/work-img4.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 946466 388
2018-03-30 21:56:49 GET /images/work-img6.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 720896 388
2018-03-30 21:56:49 GET /images/work-img9.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 131072 388
2018-03-30 21:56:49 GET /images/work-img7.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 393216 388
