#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 08:08:55 GET /images/flexslider-arrows.png - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 421
2018-10-20 08:08:57 GET /images/favicon.ico - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 402
2018-10-20 08:10:41 HEAD /images/events/event-3.jpg - 94.250.249.41 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 - 200 251 231
2018-10-20 08:10:41 HEAD /images/events/event-3.jpg/license.php - 94.250.249.41 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 - 404 160 243
2018-10-20 08:10:41 GET /images/events/event-3.jpg/license.php - 94.250.249.41 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/34.0.1847.116+Safari/537.36 - 404 1405 242
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:35:52
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 08:35:52 GET /jQuery-File-Upload/js/jquery.fileupload.js - 193.106.30.98 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - 404 1405 233
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 09:11:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 09:11:55 GET / - 180.76.15.149 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 13748 223
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 09:31:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 09:31:46 GET /images/favicon.ico - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 402
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 10:47:52
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 10:47:52 GET /wp-login.php - 86.110.118.172 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 228
2018-10-20 10:47:52 GET /wp-login.php - 86.110.118.172 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+9.0;+Windows+NT+6.1;+Trident/5.0) - 404 1405 205
2018-10-20 10:54:04 GET /images/events/event-3.jpg - 66.249.79.153 HTTP/1.1 Googlebot-Image/1.0 - 304 211 260
2018-10-20 11:03:06 GET /images/events/event-4.jpg - 66.249.79.156 HTTP/1.1 Googlebot-Image/1.0 - 304 211 260
