#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 07:37:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 07:37:22 GET / - 23.237.4.26 HTTP/1.1 Mozilla/5.0+(compatible;+AlphaBot/3.2;++http://alphaseobot.com/bot.html) - 200 103142 172
2018-11-03 07:51:24 GET /images/gallery/gallery-2.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 16758 236
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 08:17:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 09:50:24 GET /js/jquery.form.min.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 11390 525
2018-11-03 09:50:24 GET /js/contactform.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4238 521
2018-11-03 09:50:24 GET /js/jquery.nicescroll.min.js - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 57934 531
2018-11-03 09:50:24 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 630
2018-11-03 09:50:24 GET /js/init.js - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3636 514
2018-11-03 09:50:24 GET /images/events/event-1.jpg - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 565
2018-11-03 09:50:24 GET /images/events/event-2.jpg - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 565
2018-11-03 09:50:24 GET /images/events/event-3.jpg - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 565
2018-11-03 09:50:24 GET /images/events/event-4.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 565
2018-11-03 09:50:24 GET /images/team/member-2.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 564
2018-11-03 09:50:24 GET /images/team/member-1.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 564
2018-11-03 09:50:24 GET /images/bkgs/home-bkg.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 564
2018-11-03 09:50:24 GET /images/gallery/gallery-1.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 568
2018-11-03 09:50:24 GET /images/team/member-3.jpg - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 564
