#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-13 09:56:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-13 22:44:57 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 473
2018-06-13 22:44:57 GET /images/bkgs/home-bkg.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 408
2018-06-13 22:44:57 GET /js/jquery.easing.min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 2644 371
2018-06-13 22:44:58 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8007 387
2018-06-13 22:44:58 GET /js/jquery.flexslider-min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 375
2018-06-13 22:44:58 GET /js/jquery.isotope.min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 6559 372
2018-06-13 22:44:58 GET /js/jquery.form.min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 369
2018-06-13 22:44:58 GET /js/contactform.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 365
2018-06-13 22:44:58 GET /js/jquery.nicescroll.min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 375
2018-06-13 22:44:58 GET /images/events/event-3.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 409
2018-06-13 22:44:59 GET /images/team/member-1.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 408
2018-06-13 22:44:59 GET /js/init.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 358
2018-06-13 22:44:59 GET /images/gallery/gallery-1.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 412
2018-06-13 22:44:59 GET /images/gallery/gallery-2.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 412
2018-06-13 22:44:59 GET /images/gallery/gallery-3.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 412
2018-06-13 22:44:59 GET /images/gallery/gallery-4.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 412
2018-06-13 22:45:00 GET /images/gallery/gallery-6.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 412
2018-06-13 22:45:00 GET /images/team/member-3.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 408
2018-06-13 22:45:00 GET /images/icon-facebook.png - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 417
2018-06-13 22:45:00 GET /images/bkgs/section-bkg.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 411
